Tipo;Utilizador;Data de Início;Tempo de Toque;Duração;Data de Fim;Origem;Destino;Destino Final;Serviço;Telefone de Origem;Tipo de localização;Atendida;Tipo de Telefone;Contexto de Acesso da Chamada;Identificação Chamada;Identificador Global da Chamada;País;Causa de Não Atendimento;Total Chamadas da Origem
Chamada Não Atendida;260283/962878547;2025-03-15 18:09:35;0:00:32;;2025-03-15 18:10:06;'+35191403****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011742050690315180935000014041802';'4bb9d44d-d269-4de8-9a2c-d12987cce120';;Canceladas pela origem;1
Chamada Não Atendida;260283/962878547;2025-03-14 09:48:56;0:00:28;;2025-03-14 09:49:24;'+35196197****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011741968570314094856000014041802';'29f61982-152f-4ea7-8054-e10811b339e1';;Canceladas pela origem;1
Chamada recebida;260283/962878547;2025-03-12 11:58:44;0:00:09;0:01:00;2025-03-12 11:59:53;'+35191327****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Atendida;Móvel GSM;Terminal Móvel;'00000011741749230312115844000014041802';'25f0977e-f426-4cea-aa4c-cd32685dd23e';Portugal;;4
Chamada Não Atendida;260283/962878547;2025-03-12 11:57:03;0:00:04;;2025-03-12 11:57:07;'+35191327****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011741733070312115703000014041802';'e80ece2f-ed15-449c-8293-3e2de6128c7c';;Canceladas pela origem;0
Chamada Não Atendida;260283/962878568;2025-03-12 11:56:55;0:00:07;;2025-03-12 11:57:03;'+35191327****';'403';'962878568';Chamada voz;'+351962878568';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011741757360312115655000014041802';'e80ece2f-ed15-449c-8293-3e2de6128c7c';;Sem Resposta;0
Chamada Não Atendida;260283/962878547;2025-03-12 11:56:09;0:00:46;;2025-03-12 11:56:55;'+35191327****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011741795270312115609000014041802';'e80ece2f-ed15-449c-8293-3e2de6128c7c';;Sem Resposta;0
Chamada efetuada;260283/962878547;2025-03-10 19:06:52;0:00:09;0:02:02;2025-03-10 19:09:02;'962878547';'+35196762****';'96762****';Chamada voz;'+351962878547';Nacional;Atendida;Móvel GSM;VoLTE;'00000011741622300310190652000014041800';'5dfc5857-3a7d-4baf-a65c-539d9f5e0a2f';Portugal;;0
Chamada efetuada;260283/962878547;2025-03-10 19:04:23;0:00:07;0:00:53;2025-03-10 19:05:23;'962878547';'+35196762****';'96762****';Chamada voz;'+351962878547';Nacional;Atendida;Móvel GSM;VoLTE;'00000011741638110310190423000014041800';'1311ce41-2399-484b-a245-593cca63a1a0';Portugal;;0
Chamada efetuada;260283/962878547;2025-03-10 19:04:15;0:00:01;;2025-03-10 19:04:16;'962878547';'+35196762****';'96762****';Chamada voz;'+351962878547';Nacional;Não atendida;Móvel GSM;VoLTE;'00000011741656760310190415000014041800';'72e7f0b2-c790-4269-92b5-9ef121870a39';Portugal;;0
Chamada Não Atendida;260283/962878547;2025-03-10 19:03:53;0:00:04;;2025-03-10 19:03:57;'+35196762****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011741634480310190353000014041802';'649adee7-8cc0-4c67-875a-42c9f9f5265d';;Canceladas pela origem;3
